healpix_nside,pixel,ecliptic_lon_deg,ecliptic_lat_deg,detection_count
64,17104,112.5,17.582776008425398,6
64,17105,113.90625,17.582776008425398,24
64,17106,115.3125,17.582776008425398,8
64,17107,116.71875,17.582776008425398,6
64,17108,118.125,17.582776008425398,8
64,17109,119.53125,17.582776008425398,9
64,17110,120.9375,17.582776008425398,9
64,17111,122.34375,17.582776008425398,13
64,17112,123.75,17.582776008425398,7
64,17113,125.15625,17.582776008425398,2
64,17114,126.5625,17.582776008425398,35
64,17115,127.96875,17.582776008425398,15
64,17116,129.375,17.582776008425398,29
64,17117,130.78125,17.582776008425398,29
64,17118,132.1875,17.582776008425398,49
64,17119,133.59375,17.582776008425398,19
64,17120,135.0,17.582776008425398,25
64,17121,136.40625,17.582776008425398,14
64,17122,137.8125,17.582776008425398,31
64,17123,139.21875,17.582776008425398,11
64,17124,140.625,17.582776008425398,31
64,17125,142.03125,17.582776008425398,6
64,17126,143.4375,17.582776008425398,28
64,17128,146.25,17.582776008425398,24
64,17129,147.65625,17.582776008425398,1
64,17130,149.0625,17.582776008425398,22
64,17131,150.46875,17.582776008425398,6
64,17132,151.875,17.582776008425398,26
64,17133,153.28125,17.582776008425398,11
64,17134,154.6875,17.582776008425398,17
64,17135,156.09375,17.582776008425398,6
64,17136,157.5,17.582776008425398,27
64,17137,158.90625,17.582776008425398,5
64,17138,160.3125,17.582776008425398,37
64,17139,161.71875,17.582776008425398,9
64,17140,163.125,17.582776008425398,58
64,17141,164.53125,17.582776008425398,1
64,17142,165.9375,17.582776008425398,32
64,17143,167.34375,17.582776008425398,3
64,17144,168.75,17.582776008425398,44
64,17145,170.15625,17.582776008425398,3
64,17146,171.5625,17.582776008425398,57
64,17147,172.96875,17.582776008425398,8
64,17148,174.375,17.582776008425398,45
64,17149,175.78125,17.582776008425398,1
64,17150,177.1875,17.582776008425398,43
64,17151,178.59375,17.582776008425398,9
64,17152,-180.0,17.582776008425398,105
64,17153,-178.59375,17.582776008425398,18
64,17154,-177.1875,17.582776008425398,47
64,17156,-174.375,17.582776008425398,18
64,17157,-172.96875,17.582776008425398,3
64,17158,-171.5625,17.582776008425398,10
64,17159,-170.15625,17.582776008425398,7
64,17160,-168.75,17.582776008425398,13
64,17161,-167.34375,17.582776008425398,1
64,17162,-165.9375,17.582776008425398,9
64,17163,-164.53125,17.582776008425398,2
64,17164,-163.125,17.582776008425398,24
64,17165,-161.71875,17.582776008425398,4
64,17166,-160.3125,17.582776008425398,11
64,17167,-158.90625,17.582776008425398,14
64,17168,-157.5,17.582776008425398,7
64,17170,-154.6875,17.582776008425398,8
64,17171,-153.28125,17.582776008425398,28
64,17172,-151.875,17.582776008425398,37
64,17173,-150.46875,17.582776008425398,25
64,17174,-149.0625,17.582776008425398,61
64,17175,-147.65625,17.582776008425398,21
64,17176,-146.25,17.582776008425398,44
64,17177,-144.84375,17.582776008425398,24
64,17178,-143.4375,17.582776008425398,43
64,17179,-142.03125,17.582776008425398,19
64,17180,-140.625,17.582776008425398,59
64,17181,-139.21875,17.582776008425398,1
64,17182,-137.8125,17.582776008425398,7
64,17183,-136.40625,17.582776008425398,9
64,17184,-135.0,17.582776008425398,3
64,17186,-132.1875,17.582776008425398,2
64,17188,-129.37500000000006,17.582776008425398,1
64,17189,-127.96875,17.582776008425398,1
64,17190,-126.5625,17.582776008425398,1
64,17191,-125.15625,17.582776008425398,9
64,17192,-123.75,17.582776008425398,16
64,17193,-122.34375,17.582776008425398,19
64,17194,-120.9375,17.582776008425398,6
