object_key,detection_count,night_count,time_baseline_days
N:177529,10,4,4.134847800924035
N:219100,1,1,0.0
N:306883,11,5,30.983653136572684
S:2017fl18,1,1,0.0
N:130475,15,8,36.97423325231648
N:195668,10,4,4.0955941435167915
N:1555,24,8,50.05279780092678
N:2384,37,11,61.95470409722475
N:4593,33,11,61.96253766203881
N:40387,25,9,65.02117883101891
S:2016bk54,1,1,0.0
N:49001,14,6,37.00650812499953
N:7750,36,14,65.04831740740337
N:11854,22,8,65.03152857638634
N:21632,31,12,65.04233118055708
N:25977,30,10,61.96074481481628
N:45771,16,7,41.04770400463167
N:71764,11,3,22.073760810184467
N:80440,19,7,40.97368040509173
N:6989,49,17,70.80305636574485
N:15562,50,15,64.9369203356473
N:19710,36,14,64.93466016204184
N:35574,48,15,64.90719949074264
N:62392,21,8,42.91477841435699
N:78715,35,13,67.9441716435249
N:89705,52,13,64.91830059028143
N:96861,31,8,42.94129820602393
