metric,lower,upper,stage,eligible_object_n,survived_object_n,survival_fraction,ci95_low,ci95_high,denominator_definition
median_detector_edge_distance_px,0.0,100.0,is_good_survived,3,0,0.0,5.551115123125783e-17,0.5614970317550454,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,100.0,300.0,strict_linked,32,11,0.34375,0.20410437924433172,0.5168891202103778,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,100.0,300.0,fit_ok_survived,32,11,0.34375,0.20410437924433172,0.5168891202103778,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,100.0,300.0,is_good_survived,32,11,0.34375,0.20410437924433172,0.5168891202103778,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,300.0,500.0,strict_linked,4232,2358,0.5571833648393195,0.5421728732829785,0.5720901379050634,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,300.0,500.0,fit_ok_survived,4232,2358,0.5571833648393195,0.5421728732829785,0.5720901379050634,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,300.0,500.0,is_good_survived,4232,2358,0.5571833648393195,0.5421728732829785,0.5720901379050634,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,500.0,1000.0,strict_linked,21152,14945,0.706552571860817,0.7003791637713482,0.7126509686867862,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,500.0,1000.0,fit_ok_survived,21152,14945,0.706552571860817,0.7003791637713482,0.7126509686867862,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,500.0,1000.0,is_good_survived,21152,14945,0.706552571860817,0.7003791637713482,0.7126509686867862,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,1000.0,2000.0,strict_linked,35535,26768,0.7532854931757422,0.7487760133905433,0.7577402167701383,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,1000.0,2000.0,fit_ok_survived,35535,26768,0.7532854931757422,0.7487760133905433,0.7577402167701383,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,1000.0,2000.0,is_good_survived,35535,26768,0.7532854931757422,0.7487760133905433,0.7577402167701383,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,2000.0,4000.0,strict_linked,39099,30049,0.7685362797002481,0.764329417942071,0.7726903795095823,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,2000.0,4000.0,fit_ok_survived,39099,30049,0.7685362797002481,0.764329417942071,0.7726903795095823,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,2000.0,4000.0,is_good_survived,39099,30049,0.7685362797002481,0.764329417942071,0.7726903795095823,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,4000.0,inf,strict_linked,2294,1768,0.7707061900610288,0.753059544395999,0.7874477195983688,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,4000.0,inf,fit_ok_survived,2294,1768,0.7707061900610288,0.753059544395999,0.7874477195983688,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_detector_edge_distance_px,4000.0,inf,is_good_survived,2294,1768,0.7707061900610288,0.753059544395999,0.7874477195983688,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_n_sources,1916.0,12766.0,strict_linked,20458,16407,0.8019845537198163,0.7964673690479684,0.8073883506274264,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
median_n_sources,1916.0,12766.0,fit_ok_survived,20458,16407,0.8019845537198163,0.7964673690479684,0.8073883506274264,object-night with >=3 distinct 1.5-arcsec known detections and 3<=first-last rate<=63 arcsec/h
