field_id,exposure_n,night_n,first_night,last_night,open_shutter_s
1216,36,13,20251213,20260127,1080.0
1235,36,15,20251122,20260330,1080.0
1359,36,12,20251115,20260126,1080.0
1360,36,13,20251115,20260127,1080.0
1362,36,15,20251115,20260218,1080.0
1374,36,14,20251128,20260427,1080.0
1387,36,13,20251229,20260430,1080.0
1484,36,11,20251210,20260120,1080.0
1500,36,14,20251121,20260222,1080.0
1521,36,13,20251229,20260403,1080.0
1605,36,12,20251115,20260126,1080.0
1619,36,12,20251213,20260120,1080.0
1650,36,13,20251206,20260401,1080.0
1657,36,12,20251231,20260528,1080.0
1744,36,13,20251119,20260120,1080.0
1800,36,13,20260218,20260601,1080.0
1806,36,11,20260331,20260715,1080.0
0298,35,14,20251127,20260220,1050.0
0433,35,12,20251204,20260303,1050.0
0540,35,13,20251206,20260123,1050.0
0818,35,14,20251223,20260202,1050.0
0825,35,12,20260112,20260330,1050.0
0834,35,11,20251204,20260306,1050.0
0956,35,15,20260108,20260330,1050.0
1087,35,11,20251217,20260201,1050.0
1090,35,10,20251119,20260222,1050.0
1108,35,13,20251203,20260303,1050.0
1122,35,14,20251230,20260403,1050.0
1124,35,15,20260101,20260528,1050.0
1243,35,12,20251206,20260306,1050.0
1336,35,12,20251115,20260120,1050.0
1348,35,12,20251208,20260127,1050.0
1349,35,12,20251209,20260127,1050.0
1356,35,13,20251115,20260223,1050.0
1373,35,13,20251128,20260401,1050.0
1474,35,12,20251115,20260126,1050.0
1604,35,13,20251115,20260126,1050.0
1649,35,14,20251206,20260429,1050.0
1676,35,12,20260311,20260715,1050.0
1734,35,13,20251115,20260126,1050.0
1742,35,12,20251119,20260120,1050.0
1755,35,13,20251115,20260108,1050.0
1756,35,12,20251115,20260127,1050.0
1758,35,14,20251115,20260222,1050.0
1760,35,16,20251120,20260223,1050.0
1761,35,16,20251120,20260223,1050.0
1769,35,13,20251125,20260222,1050.0
1771,35,15,20251201,20260222,1050.0
1781,35,12,20251208,20260316,1050.0
0142,34,11,20251129,20260201,1020.0
0154,34,13,20251214,20260220,1020.0
0182,34,9,20251205,20260311,1020.0
0278,34,14,20251208,20260218,1020.0
0287,34,13,20251217,20260308,1020.0
0312,34,11,20251205,20260312,1020.0
0406,34,14,20251129,20260122,1020.0
0417,34,14,20251217,20260220,1020.0
0422,34,14,20260109,20260330,1020.0
0443,34,12,20251205,20260312,1020.0
0541,34,13,20251208,20260123,1020.0
0558,34,14,20260112,20260306,1020.0
0669,34,15,20251128,20260131,1020.0
0682,34,13,20251217,20260220,1020.0
0683,34,13,20251223,20260220,1020.0
0815,34,13,20251215,20260218,1020.0
0826,34,14,20260114,20260306,1020.0
0951,34,12,20251217,20260202,1020.0
0982,34,14,20251216,20260430,1020.0
1092,34,13,20251121,20260330,1020.0
1206,34,15,20251115,20260127,1020.0
1340,34,13,20251115,20260127,1020.0
1365,34,16,20251119,20260223,1020.0
1366,34,13,20251121,20260223,1020.0
1367,34,11,20251121,20260222,1020.0
1392,34,14,20251231,20260528,1020.0
1473,34,13,20251115,20260126,1020.0
1479,34,13,20251121,20260120,1020.0
1482,34,9,20251208,20260104,1020.0
1485,34,11,20251213,20260120,1020.0
1486,34,12,20251213,20260120,1020.0
1493,34,12,20251115,20260127,1020.0
1515,34,14,20251206,20260407,1020.0
1538,34,13,20260213,20260601,1020.0
1599,34,6,20251115,20260620,1020.0
1610,34,12,20251115,20260120,1020.0
1615,34,10,20251208,20260105,1020.0
1618,34,11,20251213,20260120,1020.0
1628,34,12,20251115,20260222,1020.0
1648,34,15,20251206,20260429,1020.0
1651,34,11,20251208,20260316,1020.0
1669,34,14,20260216,20260601,1020.0
1745,34,12,20251119,20260105,1020.0
1759,34,14,20251120,20260222,1020.0
0013,33,9,20251207,20260201,990.0
0029,33,14,20251215,20260308,990.0
0160,33,11,20260110,20260308,990.0
0180,33,11,20251205,20260311,990.0
0408,33,14,20251207,20260123,990.0
0418,33,14,20251221,20260308,990.0
0538,33,12,20251129,20260122,990.0
0539,33,12,20251129,20260121,990.0
0832,33,12,20251204,20260306,990.0
0833,33,11,20251204,20260306,990.0
0959,33,11,20251119,20260330,990.0
1210,33,13,20251121,20260120,990.0
1236,33,13,20251124,20260426,990.0
1255,33,11,20251230,20260403,990.0
1334,33,10,20251115,20260105,990.0
1390,33,12,20251231,20260403,990.0
1488,33,13,20251214,20260127,990.0
1537,33,13,20260213,20260601,990.0
1539,33,13,20260213,20260601,990.0
1670,33,12,20260218,20260601,990.0
1799,33,12,20260218,20260601,990.0
0032,32,13,20251129,20260308,960.0
0145,32,12,20251129,20260122,960.0
0153,32,15,20251213,20260220,960.0
0181,32,10,20251205,20260311,960.0
0286,32,13,20251217,20260308,960.0
0311,32,10,20251205,20260311,960.0
0401,32,12,20251128,20260201,960.0
0421,32,13,20260108,20260330,960.0
0445,32,12,20251205,20260315,960.0
0446,32,11,20260102,20260411,960.0
0529,32,12,20251119,20260127,960.0
0534,32,13,20251128,20260201,960.0
0548,32,10,20251225,20260220,960.0
0549,32,13,20251217,20260220,960.0
0564,32,12,20251204,20260213,960.0
0580,32,13,20260102,20260411,960.0
0694,32,12,20260116,20260306,960.0
0718,32,10,20260105,20260403,960.0
0821,32,14,20260107,20260330,960.0
0823,32,11,20260109,20260330,960.0
0964,32,12,20251122,20260208,960.0
0966,32,12,20251204,20260306,960.0
1093,32,12,20251119,20260330,960.0
1101,32,13,20251124,20260330,960.0
1118,32,12,20251229,20260430,960.0
1205,32,13,20251115,20260127,960.0
1209,32,13,20251119,20260115,960.0
1228,32,12,20251119,20260330,960.0
1253,32,12,20251229,20260430,960.0
1339,32,12,20251115,20260126,960.0
1344,32,12,20251121,20260120,960.0
1345,32,13,20251121,20260120,960.0
1389,32,11,20251229,20260403,960.0
1483,32,11,20251209,20260120,960.0
1495,32,11,20251115,20260127,960.0
1496,32,14,20251115,20260222,960.0
1497,32,13,20251119,20260223,960.0
1616,32,12,20251210,20260126,960.0
1642,32,15,20251201,20260310,960.0
1666,32,16,20260211,20260530,960.0
1731,32,8,20251115,20260120,960.0
1733,32,12,20251115,20260126,960.0
1757,32,11,20251115,20260222,960.0
1770,32,15,20251125,20260216,960.0
1798,32,13,20260216,20260601,960.0
0010,31,8,20251123,20260201,930.0
0028,31,13,20251215,20260308,930.0
0052,31,11,20251205,20260311,930.0
0151,31,11,20251213,20260220,930.0
0156,31,13,20251217,20260308,930.0
0407,31,13,20251206,20260122,930.0
0416,31,12,20251225,20260220,930.0
0444,31,9,20251205,20260312,930.0
0533,31,12,20251128,20260201,930.0
0550,31,13,20251221,20260220,930.0
0940,31,12,20251121,20260115,930.0
0953,31,13,20251119,20260222,930.0
0957,31,12,20260109,20260330,930.0
0999,31,11,20260202,20260530,930.0
1254,31,11,20251229,20260430,930.0
1256,31,12,20251230,20260403,930.0
1352,31,12,20251213,20260123,930.0
1385,31,13,20251208,20260429,930.0
1547,31,8,20260401,20260715,930.0
1600,31,9,20251115,20260120,930.0
1668,31,14,20260216,20260530,930.0
1678,31,8,20260401,20260715,930.0
1794,31,13,20260211,20260530,930.0
1796,31,16,20260211,20260530,930.0
1807,31,9,20260401,20260715,930.0
1827,31,4,20260503,20260611,930.0
0016,30,9,20251129,20260122,900.0
0143,30,9,20251129,20260122,900.0
0150,30,12,20251213,20260218,900.0
0157,30,12,20251217,20260308,900.0
0272,30,11,20251129,20260201,900.0
0273,30,10,20251129,20260122,900.0
0285,30,12,20251228,20260220,900.0
0288,30,12,20251223,20260308,900.0
0289,30,9,20260107,20260308,900.0
0290,30,11,20260109,20260308,900.0
0400,30,11,20251221,20260201,900.0
0403,30,12,20251129,20260201,900.0
0420,30,11,20260106,20260308,900.0
0530,30,11,20251119,20260127,900.0
0553,30,12,20260107,20260330,900.0
0565,30,9,20251204,20260213,900.0
0578,30,12,20251230,20260429,900.0
0719,30,9,20260109,20260403,900.0
0831,30,11,20251204,20260208,900.0
0941,30,12,20251121,20260123,900.0
0952,30,11,20251223,20260201,900.0
0983,30,12,20251229,20260430,900.0
1231,30,14,20251119,20260222,900.0
1232,30,15,20251122,20260222,900.0
1258,30,13,20251231,20260528,900.0
1259,30,12,20260101,20260528,900.0
1335,30,11,20251115,20260120,900.0
1388,30,11,20251229,20260430,900.0
1478,30,11,20251121,20260120,900.0
1545,30,10,20260331,20260715,900.0
1601,30,10,20251115,20260120,900.0
1638,30,12,20251125,20260427,900.0
1735,30,11,20251115,20260126,900.0
1741,30,10,20251115,20260120,900.0
0274,29,11,20251129,20260122,870.0
0398,29,10,20251119,20260201,870.0
0404,29,11,20251129,20260122,870.0
0419,29,13,20251221,20260308,870.0
0537,29,12,20251129,20260122,870.0
0665,29,11,20251119,20260127,870.0
0673,29,10,20251121,20260123,870.0
0714,29,12,20260105,20260430,870.0
0816,29,10,20251217,20260202,870.0
0822,29,13,20260108,20260330,870.0
0852,29,11,20260101,20260403,870.0
0933,29,10,20251115,20260123,870.0
0950,29,12,20251217,20260202,870.0
0955,29,11,20251119,20260330,870.0
0960,29,13,20251119,20260330,870.0
0986,29,14,20251230,20260403,870.0
1067,29,12,20251121,20260123,870.0
1070,29,11,20251115,20260126,870.0
1071,29,12,20251115,20260127,870.0
1134,29,10,20260202,20260530,870.0
1233,29,15,20251122,20260208,870.0
1268,29,11,20260202,20260530,870.0
1350,29,9,20251210,20260120,870.0
1393,29,12,20251231,20260528,870.0
1406,29,11,20260213,20260504,870.0
1469,29,11,20251115,20260120,870.0
1606,29,7,20251120,20260126,870.0
1629,29,11,20251120,20260222,870.0
1630,29,12,20251120,20260223,870.0
1677,29,9,20260331,20260715,870.0
