condition,condition_label,availability,timestamp_utc,value,unit,night,field_id,pair_id,match_status,mode,source_kind,source_column,source_path,availability_reason,input_manifest_hash
moon_separation,Moon separation,archived,2026-04-20T13:20:15Z,78.2185529178827,deg,20260420,0847,20260420:0847:0003,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:21:35Z,73.51488788540021,deg,20260420,1384,20260420:1384:0003,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:22:55Z,80.23649855855011,deg,20260420,0713,20260420:0713:0003,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:24:15Z,73.19274960645706,deg,20260420,1517,20260420:1517:0003,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:25:35Z,77.78314207670097,deg,20260420,1117,20260420:1117:0003,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:26:55Z,99.46226799877232,deg,20260420,0855,20260420:0855:0001,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:28:15Z,101.49671459466042,deg,20260420,0721,20260420:0721:0001,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:29:35Z,103.88351417736357,deg,20260420,0588,20260420:0588:0001,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:30:55Z,100.38887511796112,deg,20260420,0990,20260420:0990:0001,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
moon_separation,Moon separation,archived,2026-04-20T13:32:15Z,99.03150050229851,deg,20260420,1125,20260420:1125:0001,matched,normal,scheduler_example,moon_sep_deg,/Users/yunaoxiao/Desktop/smt_asteroid/paper_analysis_20260803/snapshot/scheduler/scheduler_example_20260420.csv,,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
