healpix_nside,healpix_ordering,pixel,ra_deg,dec_deg,matched_detection_n
64,RING,9133,63.984374999999986,38.68218745348943,29
64,RING,9134,65.39062499999999,38.68218745348943,25
64,RING,9135,66.796875,38.68218745348943,19
64,RING,9136,68.203125,38.68218745348943,18
64,RING,9137,69.609375,38.68218745348943,36
64,RING,9138,71.015625,38.68218745348943,30
64,RING,9139,72.421875,38.68218745348943,40
64,RING,9140,73.828125,38.68218745348943,37
64,RING,9141,75.234375,38.68218745348943,26
64,RING,9142,76.64062499999999,38.68218745348943,22
64,RING,9143,78.04687499999999,38.68218745348943,37
64,RING,9144,79.45312499999999,38.68218745348943,27
64,RING,9145,80.859375,38.68218745348943,18
64,RING,9146,82.265625,38.68218745348943,25
64,RING,9147,83.671875,38.68218745348943,31
64,RING,9148,85.078125,38.68218745348943,28
64,RING,9149,86.484375,38.68218745348943,30
64,RING,9150,87.890625,38.68218745348943,39
64,RING,9151,89.29687499999999,38.68218745348943,38
64,RING,9152,90.703125,38.68218745348943,40
64,RING,9153,92.10937499999999,38.68218745348943,15
64,RING,9154,93.51562499999999,38.68218745348943,15
64,RING,9155,94.92187499999999,38.68218745348943,31
64,RING,9156,96.328125,38.68218745348943,17
64,RING,9157,97.734375,38.68218745348943,48
64,RING,9158,99.140625,38.68218745348943,40
64,RING,9159,100.546875,38.68218745348943,74
64,RING,9160,101.953125,38.68218745348943,74
64,RING,9161,103.359375,38.68218745348943,51
64,RING,9162,104.76562499999999,38.68218745348943,26
64,RING,9163,106.171875,38.68218745348943,53
64,RING,9164,107.57812499999999,38.68218745348943,21
64,RING,9165,108.98437499999999,38.68218745348943,52
64,RING,9166,110.39062499999999,38.68218745348943,30
64,RING,9167,111.796875,38.68218745348943,31
64,RING,9168,113.203125,38.68218745348943,29
64,RING,9169,114.60937499999999,38.68218745348943,37
64,RING,9170,116.01562499999999,38.68218745348943,19
64,RING,9171,117.42187499999999,38.68218745348943,20
64,RING,9172,118.828125,38.68218745348943,8
64,RING,9173,120.23437499999997,38.68218745348943,3
64,RING,9174,121.640625,38.68218745348943,1
64,RING,9178,127.265625,38.68218745348943,1
64,RING,9180,130.078125,38.68218745348943,1
64,RING,9181,131.484375,38.68218745348943,2
64,RING,9185,137.109375,38.68218745348943,3
64,RING,9187,139.921875,38.68218745348943,12
64,RING,9188,141.328125,38.68218745348943,3
64,RING,9191,145.546875,38.68218745348943,1
64,RING,9196,152.578125,38.68218745348943,2
64,RING,9197,153.984375,38.68218745348943,1
64,RING,9368,33.75,37.921650784291785,1
64,RING,9369,35.15624999999999,37.921650784291785,1
64,RING,9372,39.375,37.921650784291785,3
64,RING,9373,40.78124999999999,37.921650784291785,4
64,RING,9383,54.84375,37.921650784291785,3
64,RING,9384,56.24999999999999,37.921650784291785,17
64,RING,9385,57.656249999999986,37.921650784291785,15
64,RING,9386,59.0625,37.921650784291785,13
64,RING,9387,60.46875,37.921650784291785,30
64,RING,9388,61.87499999999999,37.921650784291785,29
64,RING,9389,63.28125,37.921650784291785,21
64,RING,9390,64.6875,37.921650784291785,35
64,RING,9391,66.09375,37.921650784291785,36
64,RING,9392,67.5,37.921650784291785,38
64,RING,9393,68.90625,37.921650784291785,41
64,RING,9394,70.31249999999999,37.921650784291785,55
64,RING,9395,71.71874999999999,37.921650784291785,51
64,RING,9396,73.125,37.921650784291785,25
64,RING,9397,74.53125,37.921650784291785,16
64,RING,9398,75.9375,37.921650784291785,41
64,RING,9399,77.34375,37.921650784291785,58
64,RING,9400,78.75,37.921650784291785,48
64,RING,9401,80.15625,37.921650784291785,37
64,RING,9402,81.56249999999999,37.921650784291785,51
64,RING,9403,82.96875,37.921650784291785,58
64,RING,9404,84.37499999999999,37.921650784291785,61
64,RING,9405,85.78124999999999,37.921650784291785,44
64,RING,9406,87.18749999999999,37.921650784291785,44
64,RING,9407,88.59375,37.921650784291785,56
64,RING,9408,90.0,37.921650784291785,8
64,RING,9409,91.40625,37.921650784291785,44
64,RING,9410,92.8125,37.921650784291785,48
64,RING,9411,94.21875,37.921650784291785,49
64,RING,9412,95.625,37.921650784291785,60
64,RING,9413,97.03124999999999,37.921650784291785,11
64,RING,9414,98.4375,37.921650784291785,18
64,RING,9415,99.84374999999999,37.921650784291785,63
64,RING,9416,101.24999999999999,37.921650784291785,74
64,RING,9417,102.65624999999999,37.921650784291785,81
64,RING,9418,104.0625,37.921650784291785,59
64,RING,9419,105.46875,37.921650784291785,48
64,RING,9420,106.875,37.921650784291785,38
64,RING,9421,108.28125,37.921650784291785,70
64,RING,9422,109.6875,37.921650784291785,36
64,RING,9423,111.09375,37.921650784291785,46
