night,plan_archive_available,plan_active_acquired_cohort,plan_exposure_n,acquired_strict_frame_n,plan_active_acquired_frame_denominator_n,plan_active_cohort_matched_frame_n,full_interval_acquired_without_plan_archive_n,multiset_matched_frame_n,acquired_frame_plan_compliance,planned_frame_realization,normal_planned_n,normal_matched_n,near_sun_planned_n,near_sun_matched_n,planned_revisit_interval_median_s,actual_revisit_interval_median_s,actual_gap_proxy_median_s,quality_code,input_manifest_hash
20260202,False,False,0,493,0,0,493,0,,,0,0,0,0,,,53.5315,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260203,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260204,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260205,False,False,0,287,0,0,287,0,,,0,0,0,0,,,53.979,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260206,False,False,0,240,0,0,240,0,,,0,0,0,0,,,51.804,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260207,False,False,0,495,0,0,495,0,,,0,0,0,0,,,52.43150000000001,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260208,False,False,0,489,0,0,489,0,,,0,0,0,0,,,52.456,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260209,False,False,0,1,0,0,1,0,,,0,0,0,0,,,,raw_without_l2;l2_missing,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260210,False,False,0,140,0,0,140,0,,,0,0,0,0,,,51.56,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260211,False,False,0,416,0,0,416,0,,,0,0,0,0,,,51.92,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260212,False,False,0,289,0,0,289,0,,,0,0,0,0,,,49.868500000000004,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260213,False,False,0,394,0,0,394,0,,,0,0,0,0,,,54.59,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260214,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260215,False,False,0,461,0,0,461,0,,,0,0,0,0,,,51.769,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260216,False,False,0,482,0,0,482,0,,,0,0,0,0,,,51.620999999999995,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260217,False,False,0,486,0,0,486,0,,,0,0,0,0,,,52.92700000000001,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260218,False,False,0,497,0,0,497,0,,,0,0,0,0,,,51.8765,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260219,False,False,0,278,0,0,278,0,,,0,0,0,0,,,50.980999999999995,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260220,False,False,0,462,0,0,462,0,,,0,0,0,0,,,50.623000000000005,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260221,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260222,False,False,0,429,0,0,429,0,,,0,0,0,0,,,51.994,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260223,False,False,0,84,0,0,84,0,,,0,0,0,0,,,51.783,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260224,False,False,0,47,0,0,47,0,,,0,0,0,0,,,52.646,quality_ok,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260225,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260226,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
20260227,False,False,0,0,0,0,0,0,,,0,0,0,0,,,,no_strict_raw,a6a11f498afd43f99b5add50f0c61e7005c7dcbcab19c1c7b4ab62776daf32bc
