night,pair_id,field_id,cycle_id,repeat,mode,planned_start_utc,actual_start_utc,time_residual_s,abs_time_residual_s,match_rule,input_manifest_hash
20260420,20260420:1395:0001,1395,2,1,normal,2026-04-20T13:52:15Z,2026-04-20T14:21:25.602000Z,1750.602,1750.602,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0591:0001,0591,2,1,normal,2026-04-20T13:53:35Z,2026-04-20T14:23:11.430000Z,1776.43,1776.43,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0993:0001,0993,2,1,normal,2026-04-20T13:54:55Z,2026-04-20T14:24:40.985000Z,1785.985,1785.985,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0855:0002,0855,2,2,normal,2026-04-20T13:56:55Z,2026-04-20T14:26:10.689000Z,1755.689,1755.689,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0721:0002,0721,2,2,normal,2026-04-20T13:58:15Z,2026-04-20T14:27:26.991000Z,1751.991,1751.991,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0588:0002,0588,2,2,normal,2026-04-20T13:59:35Z,2026-04-20T14:28:44.160000Z,1749.16,1749.16,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0990:0002,0990,2,2,normal,2026-04-20T14:00:55Z,2026-04-20T14:30:12.603000Z,1757.603,1757.603,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1125:0002,1125,2,2,normal,2026-04-20T14:02:15Z,2026-04-20T14:31:27.765000Z,1752.765,1752.765,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0856:0002,0856,2,2,normal,2026-04-20T14:03:35Z,2026-04-20T14:32:51.683000Z,1756.683,1756.683,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0722:0002,0722,2,2,normal,2026-04-20T14:04:55Z,2026-04-20T14:34:06.144000Z,1751.144,1751.144,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0589:0002,0589,2,2,normal,2026-04-20T14:06:15Z,2026-04-20T14:35:21.908000Z,1746.908,1746.908,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0991:0002,0991,2,2,normal,2026-04-20T14:07:35Z,2026-04-20T14:36:52.095000Z,1757.095,1757.095,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:1126:0002,1126,2,2,normal,2026-04-20T14:08:55Z,2026-04-20T14:38:07.058000Z,1752.058,1752.058,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
20260420,20260420:0857:0002,0857,2,2,normal,2026-04-20T14:10:15Z,2026-04-20T14:39:31.158000Z,1756.158,1756.158,monotonic_minimum_total_absolute_time_residual,dbb46a8e7c9ac8b676de38304feef9c2622d52b25c200fe3ca598e1949fb0263
