dra_bin_center_arcsec,ddec_bin_center_arcsec,matched_n
-0.7875000000000001,0.6375000000000001,0
-0.7875000000000001,0.6625000000000001,0
-0.7875000000000001,0.6875000000000001,0
-0.7875000000000001,0.7125000000000001,0
-0.7875000000000001,0.7375,0
-0.7875000000000001,0.7625000000000001,0
-0.7875000000000001,0.7875000000000001,0
-0.7875000000000001,0.8125000000000001,0
-0.7875000000000001,0.8375000000000001,0
-0.7875000000000001,0.8625,0
-0.7875000000000001,0.8875000000000001,0
-0.7875000000000001,0.9125000000000001,0
-0.7875000000000001,0.9375000000000001,0
-0.7875000000000001,0.9625000000000001,0
-0.7875000000000001,0.9875,0
-0.7625,-0.9875,0
-0.7625,-0.9624999999999999,0
-0.7625,-0.9375,0
-0.7625,-0.9125000000000001,0
-0.7625,-0.8875,0
-0.7625,-0.8625,0
-0.7625,-0.8374999999999999,0
-0.7625,-0.8125,0
-0.7625,-0.7875000000000001,0
-0.7625,-0.7625,0
-0.7625,-0.7375,0
-0.7625,-0.7124999999999999,0
-0.7625,-0.6875,0
-0.7625,-0.6625,0
-0.7625,-0.6375,6
-0.7625,-0.6125,6
-0.7625,-0.5874999999999999,11
-0.7625,-0.5625,5
-0.7625,-0.5375,10
-0.7625,-0.5125,8
-0.7625,-0.4875,12
-0.7625,-0.46249999999999997,8
-0.7625,-0.43749999999999994,14
-0.7625,-0.4124999999999999,11
-0.7625,-0.38749999999999996,11
-0.7625,-0.3625,16
-0.7625,-0.33749999999999997,15
-0.7625,-0.31249999999999994,13
-0.7625,-0.2874999999999999,13
-0.7625,-0.26249999999999996,15
-0.7625,-0.2375,19
-0.7625,-0.21249999999999997,17
-0.7625,-0.18749999999999994,27
-0.7625,-0.16249999999999992,21
-0.7625,-0.13749999999999996,23
-0.7625,-0.11249999999999999,18
-0.7625,-0.08749999999999997,29
-0.7625,-0.062499999999999944,18
-0.7625,-0.03749999999999992,21
-0.7625,-0.012499999999999956,16
-0.7625,0.012500000000000067,28
-0.7625,0.03750000000000009,18
-0.7625,0.0625,26
-0.7625,0.08750000000000002,26
-0.7625,0.11250000000000004,14
-0.7625,0.13750000000000007,18
-0.7625,0.1625000000000001,21
-0.7625,0.1875000000000001,15
-0.7625,0.21250000000000013,15
