night,quality_code,unknown_science_included,unknown_mpc_state,tracklet_stage_state,l2_detection_n,mag_flag_prefilter_detection_n,gaia_survivor_n,grouped_gaia_input_detection_n,common_area_survivor_detection_n,edge_shell_survivor_detection_n,static_survivor_detection_n,tracklet_n,link_n,orbit_fit_n,orbit_is_good_n,orbit_fit_non_known_n,orbit_is_good_non_known_n,unknown_n,review_real_n,submit_real_n,audit_initial_n,audit_real_n,night_group,quality_group,postknown_unique_detection_n,retained_unique_detection_n,postknown_membership_n,postknown_unique_tracklet_n,retained_unique_tracklet_n,submission_derived_n,postaudit_derived_n
20260309,quality_ok,True,reply_received,ok,1645796,1504673,50853,50853,50853,32354,13395,1424,216,216,216,8,8,8,1,1,1,1,normal,included,25,4,25,17,3,1,1
20260310,quality_ok,True,reply_received,ok,8284844,7411500,382516,377035,377035,328288,92717,9213,1360,1360,1360,87,87,87,2,2,2,2,normal,included,251,6,261,174,4,2,2
20260311,quality_ok,True,reply_received,ok,6817646,6058225,350829,350829,350829,310847,86773,9031,1367,1367,1367,69,69,69,1,1,1,1,normal,included,206,3,207,138,2,1,1
20260312,raw_without_l2;l2_missing,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260313,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260314,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260315,quality_ok,True,catalog_nonempty,ok,1259275,1139466,81666,79843,79843,67388,25293,2167,311,311,311,5,5,5,0,0,0,0,normal,included,15,0,15,10,0,0,0
20260316,quality_ok,True,catalog_nonempty,ok,1498680,1360582,96775,82106,82106,68168,24456,2335,380,380,380,16,16,16,0,0,0,0,normal,included,48,0,48,32,0,0,0
20260317,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260318,quality_ok,True,catalog_nonempty,ok,1271043,1155837,159795,135918,135918,126334,28060,3472,647,647,647,18,18,18,0,0,0,0,normal,included,54,0,54,36,0,0,0
20260319,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260320,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260321,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260322,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260323,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260324,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260325,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260326,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260327,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
20260328,no_strict_raw,True,not_run,missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_run,included,0,0,0,0,0,0,0
