field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
1373,35,13,20251128,20260401,1050.0,119.88029171519118,29.005981725826217,758
1474,35,12,20251115,20260126,1050.0,22.417709839000313,21.131064005672215,778
1604,35,13,20251115,20260126,1050.0,14.94968196982997,21.12051329730759,778
1649,35,14,20251206,20260429,1050.0,153.02863511076885,25.674864717102604,746
1676,35,12,20260311,20260715,1050.0,221.8144833280951,-1.882867172536276,773
1734,35,13,20251115,20260126,1050.0,12.727913972638731,23.141053859450047,759
1742,35,12,20251119,20260120,1050.0,35.035373289807026,31.201961336985804,755
1755,35,13,20251115,20260108,1050.0,76.753718842801,39.21045944569938,758
1756,35,12,20251115,20260127,1050.0,80.19670695631476,39.43177228845164,758
1758,35,14,20251115,20260222,1050.0,87.12348053737917,39.676471936848415,759
1760,35,16,20251120,20260223,1050.0,94.0686424989462,39.65358776384037,758
1761,35,16,20251120,20260223,1050.0,97.53429084139576,39.54172994299371,759
1769,35,13,20251125,20260222,1050.0,124.4440796418648,36.37538431295804,765
1771,35,15,20251201,20260222,1050.0,130.81373648297406,35.02348603801824,768
1781,35,12,20251208,20260316,1050.0,160.1159109197901,25.962961002814215,778
0142,34,11,20251129,20260201,1020.0,40.24451703799458,-0.9970686452415649,755
0154,34,13,20251214,20260220,1020.0,71.47591130970748,6.377517010019165,772
0182,34,9,20251205,20260311,1020.0,145.33317374465977,-2.9360265559264493,773
0278,34,14,20251208,20260218,1020.0,53.109039159317454,5.5613263740117285,772
0287,34,13,20251217,20260308,1020.0,77.01506179343714,9.685116758561369,755
0312,34,11,20251205,20260312,1020.0,143.34501240048206,0.605936841719276,756
0406,34,14,20251129,20260122,1020.0,42.89812417743259,5.4725725277143775,772
0417,34,14,20251217,20260220,1020.0,71.94111877945019,11.83111759658454,755
0422,34,14,20260109,20260330,1020.0,85.57891417627697,12.883280763118,757
0443,34,12,20251205,20260312,1020.0,141.635450302083,4.013771172066257,755
0541,34,13,20251208,20260123,1020.0,48.28130413170061,9.827866879601201,755
0558,34,14,20260112,20260306,1020.0,94.54282486758608,15.55566269468546,758
0669,34,15,20251128,20260131,1020.0,33.072595819801116,7.8596231486560715,755
0682,34,13,20251217,20260220,1020.0,67.52919704728127,16.633331312182513,774
